Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -9.8	10/23/20 2048	10/23/20 1500	1.00	 -0.10	 -0.44	 64.91	 64.91	198.54	182.55	182.55	 4.5962E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3575E-08	 2.5400E-03	 2.9683E-08	-4.3575E-08	 0.0000E+00	-1.4616E-08	 8.5000E-04	 1.3574E-08	-1.4616E-08	 0.0000E+00	-3.4970E-10	 2.1400E-03	 3.2547E-08	-3.4970E-10	 0.0000E+00	 1	-2.0994E-10	-4.3238E-10	 2.9513E-09	   5505	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -9.6	10/23/20 2048	10/23/20 1500	1.00	 -0.10	 -0.93	 68.36	 68.36	200.41	186.75	186.75	 4.3799E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.1043E-08	 2.3200E-03	 2.4330E-08	-4.1043E-08	 0.0000E+00	-1.5275E-08	 7.5000E-04	 1.1150E-08	-1.5275E-08	 0.0000E+00	-7.1439E-10	 2.4000E-03	 3.7001E-08	-7.1439E-10	 0.0000E+00	 1	-3.4673E-10	-7.1412E-10	 4.8743E-09	   9092	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -9.4	10/23/20 2048	10/23/20 1500	1.00	 -0.09	 -2.33	 65.18	 65.18	194.50	166.38	166.38	 4.3332E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.1916E-08	 2.2200E-03	 2.1897E-08	-4.1916E-08	 0.0000E+00	-1.0842E-08	 9.5000E-04	 1.5998E-08	-1.0842E-08	 0.0000E+00	-1.7641E-09	 2.4900E-03	 3.8542E-08	-1.7641E-09	 0.0000E+00	 1	-4.8829E-10	-1.0057E-09	 6.8643E-09	  12804	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -9.2	10/23/20 2048	10/23/20 1500	1.00	 -0.09	 -4.31	 61.33	 61.33	193.14	164.85	164.85	 4.4316E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3033E-08	 2.1000E-03	 1.8977E-08	-4.3033E-08	 0.0000E+00	-1.0046E-08	 9.0000E-04	 1.4786E-08	-1.0046E-08	 0.0000E+00	-3.3281E-09	 2.6200E-03	 4.0769E-08	-3.3281E-09	 0.0000E+00	 1	-6.2478E-10	-1.2868E-09	 8.7830E-09	  16383	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -9.0	10/23/20 2048	10/23/20 1500	1.00	 -0.09	 -5.41	 58.10	 58.10	190.43	158.85	158.85	 4.4596E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3664E-08	 2.0000E-03	 1.6544E-08	-4.3664E-08	 0.0000E+00	-8.0381E-09	 9.5000E-04	 1.5998E-08	-8.0381E-09	 0.0000E+00	-4.2058E-09	 2.8100E-03	 4.4024E-08	-4.2058E-09	 0.0000E+00	 1	-7.6161E-10	-1.5686E-09	 1.0707E-08	  19971	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -8.8	10/23/20 2048	10/23/20 1500	1.00	 -0.09	 -6.81	 53.13	 53.13	191.29	165.44	165.44	 4.7238E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.5997E-08	 1.8600E-03	 1.3138E-08	-4.5997E-08	 0.0000E+00	-9.1812E-09	 9.6000E-04	 1.6241E-08	-9.1812E-09	 0.0000E+00	-5.5995E-09	 2.9500E-03	 4.6422E-08	-5.5995E-09	 0.0000E+00	 1	-9.0806E-10	-1.8702E-09	 1.2765E-08	  23811	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -8.6	10/23/20 2048	10/23/20 1500	1.00	 -0.09	 -8.71	 45.44	 45.44	190.47	167.83	167.83	 5.0724E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.9305E-08	 1.6800E-03	 8.7588E-09	-4.9305E-08	 0.0000E+00	-9.1122E-09	 9.2000E-04	 1.5271E-08	-9.1122E-09	 0.0000E+00	-7.6771E-09	 3.0700E-03	 4.8478E-08	-7.6771E-09	 0.0000E+00	 1	-1.0497E-09	-2.1618E-09	 1.4756E-08	  27524	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -8.4	10/23/20 2048	10/23/20 1500	1.00	 -0.08	-10.35	 38.82	 38.82	188.58	166.39	166.39	 5.3337E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.1881E-08	 1.5200E-03	 4.8660E-09	-5.1881E-08	 0.0000E+00	-7.8313E-09	 9.2000E-04	 1.5271E-08	-7.8313E-09	 0.0000E+00	-9.5838E-09	 3.1500E-03	 4.9848E-08	-9.5838E-09	 0.0000E+00	 1	-1.1961E-09	-2.4635E-09	 1.6814E-08	  31364	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -8.2	10/23/20 2048	10/23/20 1500	1.00	 -0.08	-12.65	 30.80	 30.80	188.25	168.60	168.60	 5.7153E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.5188E-08	 1.3600E-03	 9.7320E-10	-5.5188E-08	 0.0000E+00	-8.0046E-09	 9.5000E-04	 1.5998E-08	-8.0046E-09	 0.0000E+00	-1.2518E-08	 3.2500E-03	 5.1561E-08	-1.2518E-08	 0.0000E+00	 1	-1.3376E-09	-2.7549E-09	 1.8804E-08	  35075	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-03+X_2mm_23-10-2017_SmallSRM_YJ	  1041	 -8.0	10/23/20 2048	10/23/20 1500	1.00	 -0.08	-11.20	 26.19	 26.19	190.45	176.48	176.48	 6.3664E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-6.1415E-08	 1.1500E-03	-4.1361E-09	-6.1415E-08	 0.0000E+00	-1.1329E-08	 8.3000E-04	 1.3090E-08	-1.1329E-08	 0.0000E+00	-1.2368E-08	 3.4200E-03	 5.4473E-08	-1.2368E-08	 0.0000E+00	 1	-1.4792E-09	-3.0466E-09	 2.0794E-08	  38788	 3.2116E-08	 3.1629E-09	 7.0296E-09	-5.2601E-08	 4.1112E-09	 4.1112E-07	      0	 759197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
