Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -9.8	10/23/20 2221	10/23/20 1500	1.00	 -0.10	 -0.46	 61.77	 61.77	186.06	196.90	196.90	 4.3821E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3575E-08	 1.3200E-03	 2.8223E-08	-4.3575E-08	 0.0000E+00	-4.6234E-09	 2.3000E-04	 9.6960E-09	-4.6234E-09	 0.0000E+00	-3.4990E-10	 1.0500E-03	 3.3061E-08	-3.4990E-10	 0.0000E+00	 1	-1.2969E-10	-2.9737E-10	 3.0771E-09	   5251	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -9.6	10/23/20 2221	10/23/20 1500	1.00	 -0.10	 -1.64	 58.81	 58.81	186.33	196.63	196.63	 4.5037E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.4745E-08	 9.5000E-04	 1.9221E-08	-4.4745E-08	 0.0000E+00	-4.9606E-09	 1.5000E-04	 7.7568E-09	-4.9606E-09	 0.0000E+00	-1.2863E-09	 1.2800E-03	 3.7001E-08	-1.2863E-09	 0.0000E+00	 1	-2.1498E-10	-4.9291E-10	 5.1006E-09	   8704	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -9.4	10/23/20 2221	10/23/20 1500	1.00	 -0.09	 -2.90	 53.21	 53.21	190.90	205.79	205.79	 4.7314E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.6401E-08	 8.2000E-04	 1.6058E-08	-4.6401E-08	 0.0000E+00	-8.9335E-09	 1.0000E-05	 4.3632E-09	-8.9335E-09	 0.0000E+00	-2.3945E-09	 1.3700E-03	 3.8542E-08	-2.3945E-09	 0.0000E+00	 1	-3.0036E-10	-6.8868E-10	 7.1264E-09	  12161	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -9.2	10/23/20 2221	10/23/20 1500	1.00	 -0.09	 -5.91	 49.26	 49.26	185.21	191.98	191.98	 4.9006E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.8545E-08	 6.6000E-04	 1.2165E-08	-4.8545E-08	 0.0000E+00	-4.4226E-09	 1.2000E-04	 7.0296E-09	-4.4226E-09	 0.0000E+00	-5.0448E-09	 1.4400E-03	 3.9742E-08	-5.0448E-09	 0.0000E+00	 1	-3.8569E-10	-8.8434E-10	 9.1510E-09	  15616	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -9.0	10/23/20 2221	10/23/20 1500	1.00	 -0.09	 -7.68	 46.12	 46.12	184.96	191.12	191.12	 4.9862E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.9229E-08	 5.6000E-04	 9.7320E-09	-4.9229E-08	 0.0000E+00	-4.2748E-09	 1.0000E-04	 6.5448E-09	-4.2748E-09	 0.0000E+00	-6.6668E-09	 1.5900E-03	 4.2311E-08	-6.6668E-09	 0.0000E+00	 1	-4.7105E-10	-1.0801E-09	 1.1176E-08	  19072	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -8.8	10/23/20 2221	10/23/20 1500	1.00	 -0.09	 -9.56	 41.00	 41.00	184.34	189.24	189.24	 5.1998E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.1129E-08	 4.4000E-04	 6.8124E-09	-5.1129E-08	 0.0000E+00	-3.8846E-09	 1.8000E-04	 8.4840E-09	-3.8846E-09	 0.0000E+00	-8.6317E-09	 1.7000E-03	 4.4195E-08	-8.6317E-09	 0.0000E+00	 1	-5.5643E-10	-1.2758E-09	 1.3202E-08	  22529	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -8.6	10/23/20 2221	10/23/20 1500	1.00	 -0.09	-11.42	 35.34	 35.34	185.85	191.81	191.81	 5.4383E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.3029E-08	 3.2000E-04	 3.8928E-09	-5.3029E-08	 0.0000E+00	-5.4337E-09	 8.0000E-05	 6.0600E-09	-5.4337E-09	 0.0000E+00	-1.0767E-08	 1.8200E-03	 4.6251E-08	-1.0767E-08	 0.0000E+00	 1	-6.4172E-10	-1.4714E-09	 1.5226E-08	  25982	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -8.4	10/23/20 2221	10/23/20 1500	1.00	 -0.08	-10.71	 30.41	 30.41	184.01	187.42	187.42	 5.9268E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.8092E-08	 6.0000E-05	-2.4330E-09	-5.8092E-08	 0.0000E+00	-4.0741E-09	 9.0000E-05	 6.3024E-09	-4.0741E-09	 0.0000E+00	-1.1019E-08	 2.0000E-03	 4.9334E-08	-1.1019E-08	 0.0000E+00	 1	-7.2703E-10	-1.6670E-09	 1.7250E-08	  29436	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -8.2	10/23/20 2221	10/23/20 1500	1.00	 -0.08	-12.31	 25.03	 25.03	183.46	186.12	186.12	 6.2513E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-6.0965E-08	-8.0000E-05	-5.8392E-09	-6.0965E-08	 0.0000E+00	-3.6839E-09	 1.5000E-04	 7.7568E-09	-3.6839E-09	 0.0000E+00	-1.3326E-08	 2.1400E-03	 5.1733E-08	-1.3326E-08	 0.0000E+00	 1	-8.1239E-10	-1.8627E-09	 1.9275E-08	  32892	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-05+X_2mm_23-10-2017_SmallSRM_YJ	  1053	 -8.0	10/23/20 2221	10/23/20 1500	1.00	 -0.08	-11.21	 21.11	 21.11	184.23	186.92	186.92	 6.8988E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-6.7488E-08	-3.0000E-04	-1.1192E-08	-6.7488E-08	 0.0000E+00	-4.9904E-09	 1.2000E-04	 7.0296E-09	-4.9904E-09	 0.0000E+00	-1.3406E-08	 2.3000E-03	 5.4473E-08	-1.3406E-08	 0.0000E+00	 1	-8.9779E-10	-2.0585E-09	 2.1301E-08	  36350	 3.8928E-09	-1.3868E-08	-4.1208E-09	-4.4844E-08	-1.5074E-08	 4.0632E-07	      0	 719106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
